cod;cidade;uf;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
83864;Porto União;SC;152,9;140,4;150,2;89;125,5;133,4;151,1;130,6;163,5;157,9;143,5;182,7
83920;São Joaquim;SC;172,2;162,5;147,2;82,2;93,2;111,2;113,7;170;177,9;140,9;118,9;119,3
83923;Urussanga;SC;192,3;213;186,5;86,8;83,4;79,5;107,2;144,9;153,2;122,3;125,6;141
83858;Xanxerê;SC;223,9;222,3;192,4;141,8;148,6;164,4;162,2;186,3;220,7;221,8;170,5;172,6
83096;Aracaju;SE;77,9;85,1;175,7;261,2;333,8;207,2;174,7;113,9;91,4;65,8;52,3;56,3
83195;Itabaianinha;SE;44,4;97,7;129,6;139,6;180,3;160,3;131,9;80,8;50,6;46,5;72,2;72,5
83097;Propriá;SE;48,1;74,4;102,8;222,3;222,1;152,2;162,1;91;81,7;42,9;34,8;67,6
83672;Araçatuba;SP;206,8;187,1;141,4;54,2;58,1;34,2;23,5;23,1;56,2;128,3;143;199,3
83773;Avaré;SP;206;181,5;157,5;86,8;105,5;85,3;46,2;51;84,1;137,3;131,2;179,7
83625;Barretos;SP;190,4;185,7;109;43,4;48,3;18;19,4;15,7;45,3;105,7;169,1;209,7
83729;Campinas;SP;226,5;211,5;126,4;54,8;45,8;50,9;50,8;30,7;62,8;148,6;143,3;205,4
83714;Campos do Jordão;SP;306,1;265,6;193,5;98,9;79,3;51,4;42,1;58,5;91,6;159,3;205,9;300,1
83676;Catanduva;SP;228,9;219,1;171,9;64,8;58,5;22,1;27,7;25,7;55,5;122,7;130,8;234,2
83626;Colina;SP;231,9;204,2;172,7;77,3;42;25,2;27,4;14,8;41,9;127,2;150,4;254,8
83760;Coop. Agrícola de Cotia;SP;202,4;191;147,9;69;51,8;39,9;31,8;32,3;61,3;142,5;142,9;187,3
83204;Fazenda Ipanema (Est. Desativada);SP;186,4;155,1;145,9;47,8;37,1;41,2;24,8;25,2;57,9;130,7;107,7;178,2
83630;Franca;SP;295,9;225;190,4;87,4;50,6;25,3;26,5;24,9;74,7;168,5;193,7;279,9
83821;Iguape;SP;243,4;206,5;262,7;183,1;143,5;127,1;104,8;94,4;121,3;145,8;150,8;193
83774;Itapeva;SP;165;160,6;108,1;57,9;107,5;88,4;53,7;57,1;91,6;115,3;134,8;186,6
83674;Lins;SP;202,7;212,7;149,2;47,9;62,8;34,3;34,8;27,3;54,8;155;133,1;223,7
83772*;Mogi das Cruzes;SP;141,67;141,63;98,47;48,8;40,89;29,26;24,22;26,68;57,16;114,1;123,61;-
83847;Paraibuna;SP;185,4;175,4;136;47,4;36,5;30,6;20,5;35,5;46,3;109,7;98,8;180,3
83716;Presidente Prudente;SP;218,2;160,2;133,2;65,9;75;57,5;45,2;41,8;84,2;148,4;137;194,1
83670;Santa Rita;SP;276,2;238,5;173;75,3;41,9;41,5;33;36,6;70;168,6;189,2;289,3
