cod;cidade;uf;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
83388;Monte Azul;MG;141,7;125,2;94,8;57,6;5,3;1,2;0,2;0,6;11,4;62,4;133,3;131,3
83437;Montes Claros;MG;229,6;94,2;121,9;32,8;8,4;6,4;0,5;0,8;25,2;149,1;186,6;230,9
83637;Oliveira;MG;304,8;169,8;146,7;86;47,7;20,1;14,7;19,3;55,5;145,4;267,2;266,9
83732;Ouro Fino;MG;276,8;228,4;197,9;77,5;78,3;39;35,1;41,4;95,5;-;165,6;-
83479;Paracatu;MG;271;149,9;170,2;82,4;29,3;5,4;10,4;8,9;24,1;149,7;199;213,6
83737;Passa Quatro;MG;236;201,6;141,9;58,6;48,2;32,6;25,2;28,8;76,6;139;160,2;266,1
83531;Patos de Minas;MG;253,2;203,9;136,4;74,8;26,8;7,3;13,1;10,4;46,7;157,6;183,9;300,4
83539;Patrocínio;MG;236,9;189,5;153,2;70;53,4;6,8;29,5;16,8;63,4;145;200,2;322,8
83393;Pedra Azul;MG;109,2;67,4;84,3;64,3;30,4;12,2;15,4;6,9;23,8;97,9;158,5;192,4
83483;Pirapora;MG;246,6;108,6;89,5;60,4;11,5;3;9;5,1;35,4;113,8;154,3;220
83570;Pompeu;MG;298,8;173,9;122,7;41,7;37,8;13,6;21;12,7;20,9;81;186,4;218
83441;Salinas;MG;124,3;95,5;100,8;58,2;26,7;4,4;17,7;10,3;27,3;73,5;158,9;148,5
83385;São Francisco;MG;210,4;150,3;80,2;59,9;15,5;0,6;5,6;1,6;17,6;135,2;200,1;254,8
83688;São João del-Rei;MG;271,2;201,2;152,6;74;39,7;15,6;9,9;23,4;64,1;144,8;198,5;261,3
83736;São Lourenço;MG;280,6;240,8;171,6;71,9;60,6;37;24;30,7;73,2;136,8;183,1;270,9
83631;São Sebas. do Paraíso;MG;283;304,9;251;78,2;56,7;18,2;26,9;21,7;34,6;151,7;182,8;332
83586;Sete Lagoas;MG;251,8;172,6;106,3;49,3;23,9;7,8;16,4;11,8;30,1;120,9;224,2;256,7
83492;Teófilo Otoni;MG;133,6;100,4;92,1;57,5;25,9;20,5;30,1;17,8;26,2;107,2;165,1;182,8
83577;Uberaba;MG;202,4;224,1;186,9;89,6;38;23,3;17,1;15,9;53,1;167,8;205,5;252,5
83428*;Unaí;MG;247,4;121,7;182,2;99,6;24,8;6,5;9,8;12,4;35;81,1;189,3;313,1
83594;Usiminas;MG;189,8;112,1;108,7;65,6;48,6;17,8;8,4;28,9;25,5;76,3;128;226,7
83642;Viçosa;MG;180,8;142,2;102,3;47,4;29,3;17,1;26,3;17,4;54,3;128,7;208,6;211
83608;Aquidauana;MS;197,5;157,2;125;80,6;98,3;48,5;20,7;28,2;96,7;130,3;160,7;192,1
83611;Campo Grande;MS;231,9;174;151,5;116,5;96,6;37,7;41;31,4;73,9;147,9;206,5;224,9
83552*;Corumbá ;MS;145,4;109,7;109;82,9;43,5;21,3;13,7;25,9;41,6;76,1;111,1;140,8
83512;Coxim;MS;248,8;212;146,2;108,2;88,5;22,4;24,2;35,8;56,8;123,6;226,6;225,9
83659;Dourados;MS;144,8;129,7;112,1;98,5;117,6;78;43,8;44,3;110;177,5;172,7;182,8
83704;Ivinhema;MS;184,6;133,5;121,4;84,1;109,5;65,9;42,2;45,7;106,3;170,9;133,8;182,6
83565;Paranaíba;MS;300,9;142,5;177,8;90,1;56,1;30,1;25,1;13,4;55,1;127;159;274,9
83702;Ponta Porã;MS;194,6;161,9;168,3;134,8;131,8;88,1;50,2;57,8;111;189,9;213,7;183,7
83618;Três Lagoas;MS;216,6;168,7;133,2;75,5;59,6;35,5;29,1;21;61;126,4;146,7;197,6
83405;Cáceres;MT;244,5;177;145,1;97,4;46,2;23,1;20,2;18,1;45,9;89,4;130,4;216,2
83361;Cuiabá;MT;214,7;208,6;169,5;125,2;51,1;13,7;12,3;13,7;55,5;116,9;160,1;201
83309;Diamantino;MT;273,8;244,1;245,3;138,7;62,7;11,1;7,5;23,2;78,7;165,7;213,8;271
83264;Gleba Celeste;MT;317,2;364,3;295,6;139,3;49;13,1;2,3;10,9;64,1;180,8;280,7;374,4
83367;Meruri;MT;295,3;212,4;176;80,9;43;7,6;5,5;15,2;46,1;130,8;211,8;258,9
83358;Poxoréo;MT;319,5;243,1;301,8;103,5;52,3;12;3,7;22,3;79,1;133;218;272,4
83310;Rosário do Oeste;MT;247,8;272;214;120,7;68,1;7,1;6,1;8;68;102,7;202;251,7
83365;Sangradouro;MT;289,7;259,6;216,4;99,4;48,2;10,4;2,5;6,7;48,7;186,1;224,7;252,5
82353;Altamira;PA;287,5;279,2;406,3;309,5;206,8;116,9;80,1;26,4;32,9;46,1;66,2;167,3
82741;Alto Tapajós;PA;312,9;340;371;305,9;159,7;29,9;17,7;42;121,5;202,8;274,9;298,5
82191;Belém;PA;385,5;412,5;447,1;353,4;305,5;155,3;155,5;126,4;144,8;114,6;118,2;203
82246;Belterra;PA;191;270,3;300,5;284,3;266,9;125,3;93,5;52,7;42,8;44,4;83,9;190,9
82188;Breves;PA;306,4;302,2;339,7;325,2;243,1;187,6;125,6;71,3;76,2;89,5;88,1;178,2
82263;Cametá;PA;290,5;353,2;382,4;421,7;298,7;216,4;172,8;111,3;69,4;64,1;92,3;160,7
82861;Conceição do Araguaia;PA;227,7;242,4;271,5;204,4;71,8;17,2;10,4;11,4;69,1;170,3;175,8;251,9
82445;Itaituba;PA;245,1;314,7;327,3;273,5;175;65;46,1;47,6;103,3;137;183;271,8
82562;Marabá;PA;253,3;405;421,1;313;97,6;38,5;24;14,6;62,9;121,9;156,3;266
82181;Monte Alegre;PA;161,5;219,3;274,4;288,8;272,6;153,6;86,3;50,2;33,3;28;30,8;74,8
82178;Óbidos;PA;237,6;266,6;306,1;283,2;223,3;97,3;70,2;37,7;45,6;71,4;78,1;163,3
82184;Porto de Moz;PA;224,3;263,5;349,5;363;334,4;240,6;167,9;91,8;73,1;49;76,6;112,3
82243;Santarém (Taperinha);PA;193,9;273,5;382,9;347,1;273,6;152,2;130;63,6;57,5;53,8;71,1;119,7
82668;São Félix do Xingu;PA;282,7;323,3;317,6;283,4;113,6;38,1;17,5;56,4;104,8;169,1;171,7;230,4
82194;Tracuateua (Desativada);PA;268,7;440,6;518,2;470;325,1;233,3;172,9;100,7;28,7;8,1;8,9;69,9
82145;Tracuateua (Operante);PA;255,2;398,1;512,9;440,1;350,8;237,7;168,4;107,7;32,5;9,5;8,8;75,5
82361;Tucuruí;PA;317,6;402,1;443;433,9;234,1;101,1;56,2;24,8;24,9;77,7;102,8;204,5
82795;Campina Grande;PB;55,3;47,7;91,8;141,8;104,7;112,7;154;58,8;48,7;17,4;13,2;29,3
82798;João Pessoa;PB;75,8;108,4;252,2;349,8;307,3;346,1;346,2;183,5;87,2;35,4;24,9;28,5
82792;Monteiro;PB;66,6;98,4;146,5;142;74,5;44,4;36,5;11,9;13;17,8;10,4;50,6
82689;São Gonçalo;PB;107,3;211;237;216,3;87,4;36,2;23,1;4;7,5;14,7;13,7;37,2
82779;Umbuzeiro;PB;33,9;51,8;97,6;111,3;130,6;200,8;195,3;84,8;63;14,3;7,6;20,4
82890;Arcoverde;PE;59,2;78;118,5;144,7;81,6;80,9;94,9;40,1;29;14;30;27,2
82886;Cabrobó;PE;87,2;85,8;136,1;104,6;40,4;19,4;13,5;3,8;4,1;10,5;38,8;55,4
82895;Caruaru;PE;63,1;35;97,6;116;80,2;115,7;134,7;45,5;25,2;11,4;9,6;30,1
82887;Floresta;PE;105,1;91,4;133,2;104,1;24;16,6;18;4,9;7,8;15,3;23,2;66,7
82893;Garanhuns;PE;42,3;59,4;91,4;123,9;112,3;127,1;135,3;66,2;45,2;26,8;21,4;23,1
82892;Pesqueira;PE;30,2;78,6;126,5;126,4;90,2;71,6;71,9;22,9;13,1;17,4;18,7;34
82987;Petrolândia;PE;49,8;69,1;112;68,2;22,1;11;14,1;2,4;3,2;10,4;14,8;51
82983;Petrolina;PE;81,9;105,9;136,3;93,6;21,7;5,1;8,7;2,4;5,6;11,9;53,5;50,8
82900;Recife (Curado);PE;108,2;148,2;256,9;337,6;318,5;377,9;388,1;204,8;122;63;35,7;56,8
82797;Surubim;PE;27,9;43,6;94,9;109;96,4;111,3;118,6;46,2;30,2;18,7;6,3;23
82789;Triunfo;PE;161,6;190,5;226,3;219,8;166,5;131,4;132,1;40,3;24;28,9;25,2;63,4
82975;Bom Jesus do Piauí;PI;145,9;150,7;197,4;145;28,9;3;8,4;5,3;14,5;98,2;142,3;153,8
82678;Floriano;PI;145;142,2;166;122,6;39,7;12,6;8,3;0,9;9,9;97,5;91,1;135,2
82684;Morro dos Cavalos;PI;156,4;123,7;174,2;90,4;19,7;9,9;7,7;0;5,7;46,4;75,2;132
82287;Parnaíba;PI;142,5;254,8;371,1;405,7;255,1;72,8;37,4;1,1;3,2;3,4;5,6;43,7
82780;Picos;PI;144,1;152,4;164,4;140,4;23,3;11,9;5,7;0,2;4,5;24,3;57,5;106,3
82578;Teresina;PI;177,7;268;297,8;272,4;113,2;24,1;10,5;8,4;9,1;20,4;73,2;118,4
83783;Campo Mourão;PR;187,7;171,4;132;115,4;134,8;124,4;76,1;74,4;146,8;151,9;130,8;203,9
83813;Castro;PR;213,9;171,1;151,8;108,3;129,3;125,9;99,7;83,6;131,1;140,6;122,7;177,7
83842;Curitiba;PR;171,8;157,6;138,8;94,8;101;115,6;98,8;73,4;119,2;133,3;126,9;152,3
83826;Foz do lguaçu;PR;196;180,1;174,8;151;127,6;138,3;84,4;107,4;146,6;219,8;153,7;189
83775;Guaíra;PR;181,1;145,2;119,8;124,1;148,3;114;71,6;83;116,4;158,3;151,5;179
83834;Guarapuava;PR;184,2;163,8;162,5;128,6;114,1;170,7;112,5;92,7;161;202,1;131,5;182,8
83836;Irati;PR;179,4;136,8;129,4;113,6;129,2;119,2;114,2;90,1;135,5;140,9;116,7;148,3
83811;Ivaí;PR;193,8;122;140,5;125;163,7;99,1;109,2;76,1;120,1;154,1;135,1;150
83769;Jacarezinho;PR;201,5;181,2;145,2;76,7;88,4;72,9;49,9;56,6;78,2;144;139;193,7
83766;Londrina;PR;235,6;173,5;137,4;107,8;106,9;96,5;69,1;60;104,3;177,1;134,4;230,3
83767;Maringá;PR;227,2;159,5;155,7;132,8;129,8;113,7;56,2;66,8;110,1;162,4;111,6;167
83860;Palmas;PR;162,7;154,8;182,1;125,9;117,1;146,2;104,6;119,3;170,8;160,2;106,6;155,3
83844;Paranaguá;PR;293,1;264,6;268,2;170,9;120,4;101,6;90,1;76,7;135,8;151,6;157,5;173,2
83837;Ponta Grossa;PR;181,7;185,2;148,9;99,4;75,9;124,6;77,1;62,8;123,9;154,5;118,5;164,7
83867;Rio Negro;PR;159,6;174,2;163,9;64,9;80,6;96,3;77,8;87,7;119,1;137,5;112,9;147,7
83025;São Mateus do Sul;PR;140,4;132;144;93;78,5;115;69,8;67,4;142,2;167,7;108,1;150,4
83007;Alto da Boa Vista;RJ;245,9;178,4;207,1;203,9;175,2;114,9;136,5;137,3;179;194,1;234,5;228,9
83788;Angra dos Reis;RJ;241;221,9;233,4;163,8;105,3;74,3;71,9;78,9;109;152,1;171;261,1
83765;Araras;RJ;308,5;232,1;165,5;82,7;56,4;29,1;34,7;35,5;44,3;162,7;218,1;296,4
83790;Bangu;RJ;182,4;149,4;156,1;104,9;66,4;35,9;45,1;48;54,5;83,4;122,8;179,1
83752;Barreirinha;RJ;281,3;220,1;173,3;88,3;44,4;33,1;26,4;43,8;71,3;181,2;212,8;254
83719;Cabo Frio (Alcalis);RJ;74,6;37;58,1;78,6;74;47,9;47,1;37,6;58,1;90,6;92,7;88,3
83698;Campos ;RJ;135,1;75,4;73,1;85,4;56,6;29,9;47,3;33,3;57,7;118,3;185,8;157,4
83807;Carmo;RJ;269,7;195,2;132,2;87,3;35;26,7;28,6;28,6;65,3;149,1;218,5;278,7
83718;Cordeiro;RJ;208,8;105,2;104,5;95,8;31,7;43,5;24,1;23,4;79;148;204,3;232,4
83741;Ecologia Agrícola;RJ;202,4;153,2;160,5;96,7;53,8;39,5;29,2;41,8;59,1;107,2;135,5;195,6
83792;Engenho de Dentro;RJ;161,9;146,9;131,8;96,5;97,1;33,9;44,6;41,2;47,1;90,2;107,9;166,2
83758;Ilha Guaíba;RJ;177,7;124,4;143,6;161,7;87,5;48,7;55,6;56,5;105,1;114,5;152;208,7
83695;Itaperuna;RJ;158,7;85,8;106,7;92,9;43;24,4;31,3;26,2;49,8;114,7;198,4;203,1
83793;Jacarepaguá;RJ;173,9;170,9;153,1;107,6;82,6;41,5;45,9;56,6;58,2;102,7;121,7;191,4
83796;Jardim Botânico;RJ;179,7545455;219,3454545;193,6636364;158,2363636;128,7818182;82,06363636;110,7636364;85,20909091;94,11818182;147,5;158,0909091;178,9454545
83745;Nova Friburgo;RJ;232,1;165,2;154,6;61,4;39,8;32,3;24,7;23,7;52,4;86,3;186,1;221,2
83791;Penha;RJ;184,5;168,6;117,3;91,2;58,5;33;38,6;38,9;36,2;86,9;116,2;184,1
83754;Pinheiral;RJ;270,2;221;181,2;62,1;41;25,6;22,7;37,6;36,5;124,8;149,5;227,5
83757;Piraí;RJ;214;158,4;130,2;80,9;43,8;32,9;28,8;31,5;46,9;111,4;152,5;209,5
83738;Resende;RJ;279;208,7;213,9;102,5;40,4;29,2;20;30;58,8;131,1;177,7;261,1
