"ref";"marca";"modelo";"cambio";"motor";"ano";"valor"
2017-12-01;"Fiat";"ARGO PRECISION 1.8 16VFlex Aut.";"automatico";1,8;"0 km";69679
2017-12-01;"Fiat";"ARGO PRECISION 1.8 16VFlex Aut.";"automatico";1,8;"2018";60731
2017-12-01;"Fiat";"MOBI DRIVE 1.0 Flex 6V 5p";"automatico";1;"0 km";40522
2017-12-01;"Fiat";"MOBI DRIVE 1.0 Flex 6V 5p";"automatico";1;"2018";36585
2017-12-01;"Fiat";"MOBI DRIVE 1.0 Flex 6V 5p";"automatico";1;"2017";35180
2017-12-01;"Fiat";"MOBI DRIVE GSR 1.0 Flex 6V 5p";"automatico";1;"0 km";44471
2017-12-01;"Fiat";"MOBI DRIVE GSR 1.0 Flex 6V 5p";"automatico";1;"2018";40065
2017-12-01;"Fiat";"MOBI EASY 1.0 Fire Flex 5p.";"automatico";1;"0 km";32665
2017-12-01;"Fiat";"MOBI EASY 1.0 Fire Flex 5p.";"automatico";1;"2018";29762
2017-12-01;"Fiat";"MOBI EASY 1.0 Fire Flex 5p.";"automatico";1;"2017";28505
2017-12-01;"Fiat";"MOBI EASY on 1.0 Fire Flex 5p.";"automatico";1;"0 km";35626
2017-12-01;"Fiat";"MOBI EASY on 1.0 Fire Flex 5p.";"automatico";1;"2017";32051
2017-12-01;"Fiat";"MOBI LIKE 1.0 Fire Flex 5p.";"automatico";1;"0 km";38322
2017-12-01;"Fiat";"MOBI LIKE 1.0 Fire Flex 5p.";"automatico";1;"2018";35215
2017-12-01;"Fiat";"MOBI LIKE 1.0 Fire Flex 5p.";"automatico";1;"2017";34021
2017-12-01;"Fiat";"MOBI LIKE ON 1.0 Fire Flex 5p.";"automatico";1;"0 km";40485
2017-12-01;"Fiat";"MOBI LIKE ON 1.0 Fire Flex 5p.";"automatico";1;"2017";36573
2017-12-01;"Fiat";"MOBI WAY 1.0 Fire Flex 5p.";"automatico";1;"0 km";39035
2017-12-01;"Fiat";"MOBI WAY 1.0 Fire Flex 5p.";"automatico";1;"2018";35780
2017-12-01;"Fiat";"MOBI WAY 1.0 Fire Flex 5p.";"automatico";1;"2017";34681
2017-12-01;"Fiat";"MOBI WAY on 1.0 Fire Flex 5p.";"automatico";1;"0 km";42859
2017-12-01;"Fiat";"MOBI WAY on 1.0 Fire Flex 5p.";"automatico";1;"2017";38100
2017-12-01;"Fiat";"Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 2p";"automatico";1;"0 km";28900
2017-12-01;"Fiat";"Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 2p";"automatico";1;"2016";24296
2017-12-01;"Fiat";"Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 4p";"automatico";1;"0 km";33313
2017-12-01;"Fiat";"Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 4p";"automatico";1;"2016";28386
