N_tume;Esp;I_meses;Parc_m2;DAPmed;DAPsd;Hmed;Hsd;Hdom;N_fuste;Sobr;G;V;IMA;B
0;E_pellita;88;1425,6;13,4;3,7;14,7;2,4;16,6;842;;12,8;100;;59
0;E_pilularis;88;1069,2;16,8;4,2;16;1,8;17,4;814;;19,1;157;;98
0;E_propinqua;88;1425,6;12,5;4;13,3;3,5;15,8;849;;11,5;85;;55
0;E_resinifera;88;1425,6;13;3,5;14,8;2,4;16,8;898;;12,7;98;;70
0;E_robusta;88;1425,6;13,8;3,8;14,5;1,9;15,6;891;;14,4;109;;72
0;E_saligna;88;1425,6;15,1;3,3;16,3;2,3;17,7;849;;15,8;133;;71
0;E_torelliana;88;1425,6;10,9;3,4;9,4;2,3;11,4;884;;9,1;47;;31
0;E_urophylla;88;1425,6;13,8;3,4;16,4;1,7;17,4;821;;13;110;;58
0;E_viminalis;88;1425,6;14,6;5,2;12,5;2,9;14,7;631;;11,9;80;;40
0;Clone_1;100;1425,6;16,6;1,4;20,8;1,1;21;940;;20,5;214;;
0;Clone_2;100;1425,6;14,3;1,1;20,5;0,9;20,9;870;;14;143;;
0;Clone_3;100;1425,6;15,5;1,8;21,1;1,3;21,8;891;;17;182;;
0;E_benthamii;100;1425,6;13,7;3,9;12,3;2,2;14,4;940;;15;95;;47
0;E_botryoides;100;1425,6;15,2;5,2;17,5;3,7;20,4;772;;15,6;149;;83
0;E_camaldulensis;100;1425,6;11,3;2,9;14,4;2,8;16,5;870;;9,3;70;;44
0;E_citriodora;100;1425,6;13,7;4,3;15,8;3;18,2;765;;12,4;104;;77
0;E_cloeziana;100;928,8;16,4;3,7;17,6;3,1;20,4;861;;19,1;179;;117
0;E_deanei;100;1425,6;15,1;4;15,4;2,7;17,7;793;;15,3;129;;66
0;E_dunnii;100;1425,6;10,3;6;9,6;2,8;12,2;624;;7;42;;21
0;E_grandis;100;1425,6;17,2;3,9;22,5;1,5;23,6;912;;22,3;255;;125
0;E_maculata;100;1425,6;14,5;3,5;15,7;2,1;17,1;814;;14,3;117;;79
0;E_microcorys;100;1009,8;16,3;3;16,3;1,9;18,6;931;;20;171;;109
0;E_paniculata;100;1425,6;13,5;4,2;13,2;2,6;15,1;835;;13,1;91;;68
0;E_pellita;100;1425,6;14,1;4;16,4;2,7;18,2;849;;14,4;126;;74
0;E_pilularis;100;1069,2;18,2;4,5;20,9;2,2;22,8;823;;22,8;241;;150
0;E_propinqua;100;1425,6;13;4,5;15,1;4,2;18,4;856;;12,7;107;;69
0;E_resinifera;100;1425,6;14;3,8;17;3,1;19,4;891;;14,6;130;;93
0;E_robusta;100;1425,6;14,9;4,3;15,5;2,3;17;884;;16,6;134;;89
0;E_saligna;100;1425,6;16,5;3,8;18,5;3;20,6;835;;18,8;179;;95
0;E_torelliana;100;1425,6;11,6;3,6;14,5;3,3;17,3;884;;10,2;79;;53
0;E_urophylla;100;1425,6;14,9;4;17,8;2,5;19,6;828;;15,4;145;;77
0;E_viminalis;100;1425,6;15,1;5,8;12,9;2,9;15,5;673;;13,7;96;;48
0;Clone_1;148;1425,6;19,7;2;25,6;0,9;26,1;744;;23;295;;
0;Clone_2;148;1425,6;17,4;1,5;24,6;0,7;24,8;659;;15,8;195;;
0;Clone_3;148;1425,6;17,7;2,2;25,7;0,9;26,2;701;;17,6;227;;
0;E_benthamii;148;1425,6;19,7;4,6;15,4;2,3;15,4;463;;14,9;115;;57
0;E_botryoides;148;1425,6;17,6;6,4;20,9;3,6;21,7;701;;19,3;207;;115
0;E_camaldulensis;148;1425,6;13;3,6;18,2;3,9;20;680;;9,7;92;;58
0;E_citriodora;148;1425,6;16,6;5,1;18,7;2,4;18,7;603;;14,3;131;;97
0;E_cloeziana;148;928,8;20,9;4,4;22,8;2,2;24,4;840;;30,1;346;;225
0;E_deanei;148;1425,6;18,3;4,5;20,6;3,1;22,2;680;;19;200;;102
0;E_dunnii;148;1425,6;13,2;8,9;15,8;7,1;18,2;442;;8,8;85;;43
0;E_grandis;148;1425,6;19,6;4,9;26,7;3;28;666;;21,2;289;;142
0;E_maculata;148;1425,6;17,7;4,8;17,8;3,3;18,8;673;;17,8;168;;114
0;E_microcorys;148;1009,8;19,8;4,2;20;2,9;21,4;852;;27,4;283;;180
0;E_paniculata;148;1425,6;16,8;5,4;16,7;3,1;18;652;;16;139;;103
0;E_pellita;148;1425,6;16,3;5,1;19,1;3;20,2;680;;15,6;155;;91
0;E_pilularis;148;1069,2;22,3;5,9;28,2;1,1;28,6;645;;27;380;;237
0;E_propinqua;148;1425,6;16,1;5,3;18,3;4,8;20,1;680;;15,4;151;;98
0;E_resinifera;148;1425,6;17,2;4,5;20,5;3,5;22,4;730;;18,1;193;;138
0;E_robusta;148;1425,6;17,7;5,3;18,9;4,5;20,6;701;;18,8;188;;124
0;E_saligna;148;1425,6;18,8;4,7;22,4;2,2;23;645;;19,1;214;;114
0;E_torelliana;148;1425,6;14,7;4,7;16;2,3;16,9;680;;12,8;103;;69
0;E_urophylla;148;1425,6;17,9;5,2;21,1;3,7;23,1;659;;18,1;206;;109
0;E_viminalis;148;1425,6;20,2;8,8;15,9;2,7;15,9;484;;18,4;159;;80
0;Clone_1;192;1425,6;21,5;2,3;28,4;1,6;28,4;723;;26,5;376;;
0;Clone_2;192;1425,6;19,3;1,9;28,9;0,9;29,1;659;;19,5;281;;
0;Clone_3;192;1425,6;19,9;2,6;28,1;1,6;28,9;701;;22,2;315;;
0;E_benthamii;192;1425,6;22,8;5,6;16;3,1;16,1;463;;20;158;;78
0;E_botryoides;192;1425,6;19,3;7;25;4,1;25,8;680;;22,4;282;;156
0;E_camaldulensis;192;1425,6;13,6;4;21,5;4,2;23,9;680;;10,8;119;;75
0;E_citriodora;192;1425,6;17,7;5,9;20,6;2,7;20,6;582;;15,9;161;;119
0;E_cloeziana;192;928,8;24,1;5,3;26;2,4;27,2;883;;42,2;547;;356
0;E_deanei;192;1425,6;20,1;5,5;22,4;3,2;24,1;673;;23;266;;136
0;E_dunnii;192;1425,6;14,2;9,9;17,6;7,7;19;435;;10,2;110;;56
0;E_grandis;192;1425,6;21,7;6,1;28,3;3,6;29,8;666;;26,6;387;;190
0;E_maculata;192;1425,6;18,6;5,2;19,7;3,6;21,6;737;;21,6;223;;151
0;E_microcorys;192;1009,8;22,8;5;23,6;1,7;24,9;852;;36,4;436;;278
0;E_paniculata;192;1425,6;19;6,3;18,4;2,9;19,9;645;;20,2;192;;143
0;E_pellita;192;1425,6;17,7;6,2;21,2;3,7;23;694;;19,1;211;;124
0;E_pilularis;192;1069,2;26,3;7,2;31,9;3,1;32,4;664;;38,6;616;;384
0;E_propinqua;192;1425,6;17,4;6,2;19,5;4,2;22;673;;18,1;189;;122
0;E_resinifera;192;1425,6;20,2;5,4;22,8;3,4;24,6;723;;24,7;289;;206
0;E_robusta;192;1425,6;19,2;6,2;19,3;4,3;21,4;694;;22,2;228;;151
0;E_saligna;192;1425,6;20,4;5,5;25;3,6;26,2;645;;22,5;279;;148
0;E_torelliana;192;1425,6;16,2;6,2;17;2,2;17,6;680;;16;138;;92
0;E_urophylla;192;1425,6;19,8;6,3;22,8;4,2;25,4;659;;22,3;274;;146
0;E_viminalis;192;1425,6;24,6;10,8;16,4;4,6;16,4;414;;23,3;210;;106
