Especie;Nome_cientifico;Comercial;DAP;HCom;Volume;QF
LIBRA/CAMBARA PRETO;Vochysiaceae;Sim;69;17;4,5;1
NAO IDENTIFICADA;Nao Identificada;Nao;50;14;1,92;2
ITAUBA;Lauraceae;Nao;38;8;0,64;1
NAO IDENTIFICADA;Nao Identificada;Nao;20;6;0,13;1
CANELA;Lauraceae;Nao;44;13;1,36;1
ITAUBA;Lauraceae;Nao;26;10;0,38;1
NAO IDENTIFICADA;Nao Identificada;Nao;20;2;0,04;1
NAO IDENTIFICADA;Nao Identificada;Nao;17;5;0,08;1
BREU;Burseraceae;Nao;23;8;0,22;1
TACHI;Lecythidaceae;Sim;24;9;0,28;1
NAO IDENTIFICADA;Nao Identificada;Nao;18;6;0,1;2
PAMA;Moraceae;Nao;16;3;0,04;1
NAO IDENTIFICADA;Nao Identificada;Nao;16;10;0,13;1
NAO IDENTIFICADA;Nao Identificada;Nao;21;7;0,16;1
ANGELIM FAVEIRA;Leguminosae-Mimosoideae;Sim;74;10;2,97;2
NAO IDENTIFICADA;Nao Identificada;Nao;15;5;0,06;1
NAO IDENTIFICADA;Nao Identificada;Nao;18;9;0,16;2
EMBIRA;Lecythidaceae;Nao;17;11;0,18;1
NAO IDENTIFICADA;Nao Identificada;Nao;15;10;0,13;1
CAROBA;Bignoniaceae;Sim;30;14;0,67;2
EMBIRA;Lecythidaceae;Nao;29;10;0,46;1
LIBRA/CAMBARA PRETO;Vochysiaceae;Sim;53;13;2,04;2
NAO IDENTIFICADA;Nao Identificada;Nao;49;16;2,11;1
LIBRA/CAMBARA PRETO;Vochysiaceae;Sim;52;15;2,19;1
SUCUPIRA;Leguminosae-Papilionoideae;Nao;28;12;0,52;1
LARANJINHA;Myrtaceae;Nao;18;2;0,04;1
ITAUBA;Lauraceae;Nao;20;11;0,24;1
EMBIRA;Lecythidaceae;Nao;69;15;3,97;2
PAMA;Moraceae;Nao;20;11;0,24;1
NAO IDENTIFICADA;Nao Identificada;Nao;16;8;0,12;1
NAO IDENTIFICADA;Nao Identificada;Nao;36;14;1,01;2
NAO IDENTIFICADA;Nao Identificada;Nao;28;14;0,59;2
CANELA;Lauraceae;Nao;38;13;1,03;1
