modelo;marca;ano;data_referencia;valor
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-09-01;52151
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-10-01;52210
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-11-01;51707
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-12-01;50455
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-01-01;70436
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-02-01;70657
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-03-01;70245
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-04-01;70261
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-05-01;69996
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-06-01;70830
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-07-01;71013
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-08-01;70515
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-09-01;70183
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-10-01;70805
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-11-01;70186
ARGO HGT 1.8 16V Flex Aut.;Fiat;0 km;2018-12-01;70921
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-01-01;64701
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-02-01;64700
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-03-01;64398
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-04-01;65267
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-05-01;65010
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-06-01;65021
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-07-01;65880
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-08-01;64858
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-09-01;63560
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-10-01;62554
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-11-01;62043
ARGO HGT 1.8 16V Flex Aut.;Fiat;2018;2018-12-01;61205
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-01-01;65161
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-02-01;65284
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-03-01;64630
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-04-01;63775
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-05-01;63322
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-06-01;62994
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-07-01;63198
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-08-01;63155
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-09-01;63669
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-10-01;64302
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-11-01;64349
ARGO HGT 1.8 16V Flex Mec.;Fiat;0 km;2018-12-01;63913
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-01-01;59781
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-02-01;59780
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-03-01;59322
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-04-01;58615
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-05-01;58695
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-06-01;59515
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-07-01;59202
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-08-01;58021
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-09-01;56860
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-10-01;56699
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-11-01;57491
ARGO HGT 1.8 16V Flex Mec.;Fiat;2018;2018-12-01;56632
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-01-01;69439
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-02-01;70133
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-03-01;69251
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-04-01;68670
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-05-01;68686
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-06-01;68071
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-07-01;68746
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-08-01;68258
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-09-01;68269
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-10-01;67974
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-11-01;67098
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;0 km;2018-12-01;68122
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-01-01;60535
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-02-01;60359
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-03-01;60119
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-04-01;59951
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-05-01;59785
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-06-01;59583
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-07-01;59289
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-08-01;60222
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-09-01;60391
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-10-01;60526
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-11-01;60002
ARGO PRECISION 1.8 16V Flex Aut.;Fiat;2018;2018-12-01;59095
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-01-01;62086
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-02-01;62472
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-03-01;62370
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-04-01;62397
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-05-01;62823
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-06-01;62319
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-07-01;62366
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-08-01;62173
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-09-01;62481
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-10-01;61921
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-11-01;61295
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;0 km;2018-12-01;62045
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-01-01;55839
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-02-01;55835
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-03-01;55643
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-04-01;56407
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-05-01;56624
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-06-01;57361
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-07-01;58133
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-08-01;57085
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-09-01;55943
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-10-01;55998
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-11-01;56794
ARGO PRECISION 1.8 16V Flex Mec.;Fiat;2018;2018-12-01;55370
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-01-01;40562
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-02-01;40749
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-03-01;40239
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-04-01;39861
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-05-01;39758
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-06-01;39767
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-07-01;41222
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-08-01;42020
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-09-01;42233
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-10-01;42606
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-11-01;42809
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;0 km;2018-12-01;43002
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-01-01;36533
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-02-01;36530
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-03-01;36393
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-04-01;36390
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-05-01;36882
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-06-01;37385
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-07-01;36383
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-08-01;36471
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-09-01;36470
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-10-01;36510
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-11-01;36009
MOBI DRIVE 1.0 Flex 6V 5p;Fiat;2018;2018-12-01;35564
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-01-01;44329
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-02-01;44433
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-03-01;44713
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-04-01;44936
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-05-01;45247
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-06-01;45575
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-07-01;46093
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-08-01;46505
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-09-01;46675
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-10-01;46958
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-11-01;47277
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;0 km;2018-12-01;46463
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-01-01;40611
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-02-01;40599
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-03-01;40409
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-04-01;40937
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-05-01;41055
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-06-01;41106
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-07-01;40989
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-08-01;40781
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-09-01;40554
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-10-01;41091
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-11-01;40327
MOBI DRIVE GSR 1.0 Flex 6V 5p;Fiat;2018;2018-12-01;40211
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-01-01;32409
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-02-01;32177
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-03-01;31947
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-04-01;31622
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-05-01;32234
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-06-01;32020
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-07-01;32151
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-08-01;32532
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-09-01;32236
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-10-01;31920
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-11-01;31766
MOBI EASY 1.0 Fire Flex 5p.;Fiat;0 km;2018-12-01;32120
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-01-01;29643
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-02-01;29478
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-03-01;29401
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-04-01;29039
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-05-01;29554
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-06-01;29451
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-07-01;28665
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-08-01;28659
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-09-01;28565
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-10-01;28560
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-11-01;28489
MOBI EASY 1.0 Fire Flex 5p.;Fiat;2018;2018-12-01;27985
MOBI EASY COMFORT 1.0 Flex 5p.;Fiat;0 km;2018-07-01;34907
MOBI EASY COMFORT 1.0 Flex 5p.;Fiat;0 km;2018-08-01;35085
MOBI EASY COMFORT 1.0 Flex 5p.;Fiat;0 km;2018-09-01;35162
MOBI EASY COMFORT 1.0 Flex 5p.;Fiat;0 km;2018-10-01;35501
