model;make;year;date;price
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2015-09-01;51406
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2015-10-01;51405
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2015-11-01;50525
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2015-12-01;49395
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-01-01;49465
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-02-01;49344
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-03-01;49734
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-04-01;49318
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-05-01;49479
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-06-01;50621
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-07-01;49237
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-08-01;49527
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-09-01;48922
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-10-01;49050
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-11-01;48320
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2016-12-01;48640
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-01-01;48542
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-02-01;47494
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-03-01;47467
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-04-01;47530
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-05-01;47622
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-06-01;48270
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-07-01;46648
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-08-01;46196
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-09-01;46832
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-10-01;47418
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-11-01;46532
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2017-12-01;46558
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-01-01;47197
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-02-01;47820
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-03-01;47793
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-04-01;48425
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-05-01;47510
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-06-01;47445
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-07-01;47544
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-08-01;46824
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-09-01;46325
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-10-01;46521
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-11-01;46234
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2018-12-01;46294
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-01-01;45395
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-02-01;44677
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-03-01;44246
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-04-01;44019
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-05-01;43948
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-06-01;43947
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-07-01;43710
HB20 Premium 1.6 Flex 16V Aut.;Hyundai;2015;2019-08-01;43416
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-01-01;46800
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-02-01;47100
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-03-01;48300
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-04-01;48550
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-05-01;49000
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-06-01;49025
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-07-01;48953
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-08-01;49000
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-09-01;50091
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-10-01;50171
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-11-01;50150
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2014-12-01;50850
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-01-01;50791
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-02-01;50883
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-03-01;50895
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-04-01;50803
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-05-01;50708
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-06-01;50625
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-07-01;50525
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-08-01;50436
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-09-01;50338
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-10-01;50243
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-11-01;50154
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2015-12-01;50058
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-01-01;50006
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-02-01;49916
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-03-01;49834
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-04-01;49741
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-05-01;49681
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-06-01;49599
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-07-01;49523
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-08-01;49080
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-09-01;48940
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-10-01;48868
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-11-01;48779
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2016-12-01;48695
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2017-01-01;48622
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2017-02-01;48552
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2017-03-01;48483
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2017-04-01;48420
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;0 km;2017-05-01;48411
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2014-09-01;45022
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2014-10-01;44947
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2014-11-01;44930
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2014-12-01;45455
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-01-01;45485
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-02-01;45490
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-03-01;46015
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-04-01;46063
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-05-01;45740
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-06-01;45689
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-07-01;46319
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-08-01;46403
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-09-01;45899
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-10-01;46322
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-11-01;45672
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2015-12-01;45701
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-01-01;45343
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-02-01;46107
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-03-01;45084
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-04-01;44660
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-05-01;44492
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-06-01;44431
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-07-01;44412
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-08-01;44295
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-09-01;44575
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-10-01;44665
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-11-01;44639
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2016-12-01;44069
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-01-01;43399
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-02-01;43878
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-03-01;43494
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-04-01;44100
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-05-01;43774
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-06-01;44351
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-07-01;42866
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-08-01;43462
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-09-01;44039
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-10-01;43587
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-11-01;44187
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2017-12-01;44786
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-01-01;45406
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-02-01;45541
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-03-01;45519
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-04-01;44675
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-05-01;45264
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-06-01;45867
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-07-01;45383
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-08-01;44418
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-09-01;43894
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-10-01;44481
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-11-01;43819
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2018-12-01;43633
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-01-01;43034
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-02-01;42701
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-03-01;42468
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-04-01;42352
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-05-01;42366
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-06-01;41911
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-07-01;41854
HB20 Premium 1.6 Flex 16V Mec.;Hyundai;2015;2019-08-01;41803
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-03-01;57050
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-04-01;57110
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-05-01;58000
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-06-01;58229
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-07-01;58790
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-08-01;59117
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-09-01;60613
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-10-01;60342
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-11-01;60238
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2016-12-01;60675
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-01-01;60413
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-02-01;60675
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-03-01;61000
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-04-01;60842
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-05-01;60261
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-06-01;60546
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-07-01;60491
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-08-01;61235
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-09-01;61705
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-10-01;61160
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-11-01;61095
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2017-12-01;61095
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-01-01;61126
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-02-01;61126
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-03-01;61879
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-04-01;62320
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-05-01;62613
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-06-01;62937
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-07-01;63141
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-08-01;63051
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-09-01;62590
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-10-01;62104
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-11-01;62786
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2018-12-01;63237
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-01-01;63570
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-02-01;63287
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-03-01;63499
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-04-01;63916
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-05-01;64237
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-06-01;63908
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-07-01;63908
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;0 km;2019-08-01;64800
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2018-06-01;57588
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2018-07-01;58386
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2018-08-01;58010
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2018-09-01;57489
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2018-10-01;57475
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2018-11-01;56953
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2018-12-01;56021
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-01-01;55885
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-02-01;55538
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-03-01;55447
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-04-01;55402
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-05-01;55781
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-06-01;56444
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-07-01;57850
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2019;2019-08-01;59246
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2017-08-01;56274
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2017-09-01;56057
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2017-10-01;55796
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2017-11-01;55411
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2017-12-01;55410
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-01-01;55521
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-02-01;55741
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-03-01;55917
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-04-01;55915
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-05-01;56267
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-06-01;55284
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-07-01;56017
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-08-01;56202
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-09-01;55589
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-10-01;55690
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-11-01;55239
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2018-12-01;54120
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-01-01;53712
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-02-01;53759
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-03-01;53759
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-04-01;53421
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-05-01;53697
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-06-01;53637
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-07-01;54451
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2018;2019-08-01;54876
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2016-09-01;53029
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2016-10-01;52932
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2016-11-01;52723
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2016-12-01;52623
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-01-01;53301
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-02-01;53404
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-03-01;53583
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-04-01;54286
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-05-01;54998
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-06-01;55738
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-07-01;55451
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-08-01;53823
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-09-01;53822
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-10-01;53821
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-11-01;53612
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2017-12-01;53610
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-01-01;53745
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-02-01;53731
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-03-01;53629
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-04-01;53625
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-05-01;54333
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-06-01;53128
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-07-01;53836
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-08-01;54029
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-09-01;53546
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-10-01;53569
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-11-01;53053
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2018-12-01;52154
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-01-01;51745
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-02-01;51153
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-03-01;50967
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-04-01;50924
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-05-01;50914
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-06-01;50633
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-07-01;50291
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2017;2019-08-01;49946
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-03-01;50885
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-04-01;50685
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-05-01;50601
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-06-01;50405
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-07-01;50186
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-08-01;50455
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-09-01;50212
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-10-01;50144
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-11-01;50746
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2016-12-01;51065
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-01-01;51723
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-02-01;51722
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-03-01;51501
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-04-01;52216
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-05-01;52940
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-06-01;53674
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-07-01;53432
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-08-01;51141
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-09-01;51841
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-10-01;51840
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-11-01;51602
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2017-12-01;51600
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-01-01;51595
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-02-01;51581
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-03-01;51551
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-04-01;51550
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-05-01;52266
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-06-01;51034
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-07-01;51740
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-08-01;51937
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-09-01;51325
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-10-01;50959
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-11-01;51320
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2018-12-01;50320
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-01-01;49824
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-02-01;49633
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-03-01;49454
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-04-01;49370
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-05-01;49390
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-06-01;48795
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-07-01;48578
HB20 R spec 1.6 Flex 16V Aut.;Hyundai;2016;2019-08-01;48427
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2016-09-01;49826
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2016-10-01;49735
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2016-11-01;49588
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2016-12-01;49407
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-01-01;50044
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-02-01;50602
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-03-01;50810
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-04-01;50985
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-05-01;51160
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-06-01;51152
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-07-01;50891
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-08-01;50889
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-09-01;51148
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-10-01;51750
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-11-01;51749
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2017-12-01;52467
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2018-01-01;51500
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2018-02-01;51425
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2018-03-01;51353
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2018-04-01;51199
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2018-05-01;50966
HB20 R spec 1.6 Flex 16V Mec.;Hyundai;2017;2018-06-01;51097
