model;make;year;date;price
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-02-01;42865
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-03-01;42704
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-04-01;42120
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-05-01;42159
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-06-01;42745
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-07-01;42451
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-08-01;41440
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-09-01;41622
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-10-01;41633
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-11-01;42188
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2018-12-01;41458
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-01-01;41402
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-02-01;41400
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-03-01;41322
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-04-01;41155
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-05-01;42056
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-06-01;42082
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-07-01;42101
ARGO DRIVE 1.0 6V Flex;Fiat;2018;2019-08-01;42033
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2017-07-01;53252
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2017-08-01;53901
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2017-09-01;54300
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2017-10-01;54680
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2017-11-01;55021
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2017-12-01;55576
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-01-01;55510
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-02-01;55517
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-03-01;55071
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-04-01;55045
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-05-01;55202
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-06-01;55089
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-07-01;54804
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-08-01;54492
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-09-01;55500
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-10-01;53059
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-11-01;52976
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2018-12-01;53819
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-01-01;54066
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-02-01;54273
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-03-01;54081
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-04-01;54022
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-05-01;54111
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-06-01;54695
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-07-01;54069
ARGO DRIVE 1.3 8V Flex;Fiat;0 km;2019-08-01;54000
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2018-09-01;50502
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2018-10-01;49079
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2018-11-01;49005
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2018-12-01;48855
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-01-01;48806
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-02-01;49707
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-03-01;49846
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-04-01;49715
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-05-01;49752
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-06-01;48601
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-07-01;48188
ARGO DRIVE 1.3 8V Flex;Fiat;2019;2019-08-01;48054
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2017-07-01;48459
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2017-08-01;48350
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2017-09-01;48198
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2017-10-01;48089
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2017-11-01;48105
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2017-12-01;48764
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-01-01;49401
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-02-01;50064
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-03-01;50190
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-04-01;50872
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-05-01;51555
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-06-01;52270
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-07-01;50945
